Subject,Category,Name,Trigger,Rating
6,0,n_BirdsSinging_s.wav,Yes,3
6,0,m_ThroatClearing5_s.wav,Yes,3
6,0,m_CoughsThroatClearing_s.wav,Yes,3
6,0,a_ManPeeingInToilet_s.wav,Yes,4
6,0,m_EatingSmallCrunches_s.wav,Yes,4
6,0,a_ToddlerCrying_s_rev.wav,Yes,5
6,1,a_PuppyCrying_s.wav,Yes,7
6,1,m_AppleEating_s.wav,Yes,5
6,1,m_ThroatClearing4_s.wav,Yes,9
6,1,n_Faucet Sound_s.wav,Yes,9
6,1,m_IADS_Vomit_255_s.wav,Yes,7
6,1,a_WolfHowl_s.wav,Yes,5
6,2,n_WindChimes_s.wav,Yes,9
6,2,m_IADS_FemaleCough_242_s.wav,Yes,9
6,2,a_BabiesCrying_s.wav,Yes,9
6,2,m_Keyboard_s.wav,Yes,9
6,2,m_LipsSmacking_s.wav,Yes,9
6,2,m_DrinkingWater3_s.wav,Yes,9
6,3,Personalized 1,No,-5
6,3,Personalized 2,Yes,-9
6,3,Personalized 3,No,-9
6,3,Personalized 4,No,-9
6,3,Personalized 5,Yes,-9
6,3,Personalized 6,No,-9
