Subject,Date,Order,Name,Rating,Trigger,Memory
25,2024-04-17,50,Personalized 1,1,,Yes
25,2024-04-17,32,Personalized 2,0,,No
25,2024-04-17,44,Personalized 3,-2,No,
25,2024-04-17,25,Personalized 4,-4,No,
25,2024-04-17,77,Personalized 5,0,,No
25,2024-04-17,38,Personalized 6,-2,No,
25,2024-04-17,46,a_AlarmClock_s.wav,0,,Yes
25,2024-04-17,86,a_AngryBeast_s.wav,0,,No
25,2024-04-17,52,a_BabiesCrying_s.wav,0,,Yes
25,2024-04-17,102,a_CarsHonking_s.wav,0,,Yes
25,2024-04-17,104,a_ChildScreaming_s.wav,0,,No
25,2024-04-17,53,a_CryingMan_s.wav,0,,Yes
25,2024-04-17,85,a_DangerAlarm_s.wav,2,,Yes
25,2024-04-17,97,a_DV_s.wav,0,,No
25,2024-04-17,65,a_Fart_s.wav,0,,No
25,2024-04-17,57,a_FemaleScream_s.wav,0,,No
25,2024-04-17,107,a_FireTruckAlarm_s.wav,0,,No
25,2024-04-17,92,a_FlyBuzzing_s.wav,0,,Yes
25,2024-04-17,69,a_GhostWhispers_s.wav,0,,No
25,2024-04-17,39,a_ManPeeingInToilet_s.wav,2,,No
25,2024-04-17,62,a_PuppyCrying_s.wav,2,,Yes
25,2024-04-17,49,a_ScreamWithEcho_s.wav,0,,No
25,2024-04-17,48,a_ToddlerCrying_s_rev.wav,0,,Yes
25,2024-04-17,36,a_WolfHowl_s.wav,0,,No
25,2024-04-17,78,a_WomanWailing_s.wav,0,,Yes
25,2024-04-17,67,m_ALotOfYawning_s.wav,0,,No
25,2024-04-17,101,m_AppleCrunching_s.wav,0,,No
25,2024-04-17,59,m_AppleEating_s.wav,0,,No
25,2024-04-17,18,m_BallBouncing_s.wav,0,,Yes
25,2024-04-17,7,m_BelchSound_s.wav,1,,No
25,2024-04-17,54,m_CatTunaLicking_s.wav,0,,Yes
25,2024-04-17,103,m_ChewingFoodWithMouthOpen_s.wav,0,,No
25,2024-04-17,71,m_ChewingGum_s.wav,0,,No
25,2024-04-17,94,m_ChewingPopcornManyCrunches_s.wav,0,,Yes
25,2024-04-17,64,m_CoughingAndSniffing_s.wav,0,,No
25,2024-04-17,15,m_CoughsThroatClearing_s.wav,0,,Yes
25,2024-04-17,60,m_CrispsAndPacket_s.wav,0,,No
25,2024-04-17,70,m_CrispsPacket_s.wav,0,,No
25,2024-04-17,6,m_CrunchingChips_s.wav,0,,Yes
25,2024-04-17,14,m_CutlerySounds_s.wav,0,,No
25,2024-04-17,73,m_DogBarking_s.wav,0,,Yes
25,2024-04-17,88,m_DogEatingMilkbone_s.wav,2,,No
25,2024-04-17,90,m_DogPanting_s.wav,0,,Yes
