Subject,Category,Name,Trigger,Rating
1,0,m_HeavyBreathing_s.wav,Yes,0
1,0,m_GumChewing2_s.wav,Yes,0
1,0,m_GarglingWaterCombined_s.wav,Yes,0
1,0,m_FingerTapping_s.wav,Yes,0
1,0,m_ALotOfYawning_s.wav,Yes,0
1,0,m_GumChewing_s.wav,Yes,0
1,1,m_GumChewing_s.wav,Yes,0
1,1,m_GumChewing2_s.wav,Yes,0
1,1,m_HeavyBreathing_s.wav,Yes,0
1,1,m_FingerTapping_s.wav,Yes,0
1,1,m_ALotOfYawning_s.wav,Yes,0
1,1,m_GarglingWaterCombined_s.wav,Yes,0
1,2,Personalized 2,Yes,1
1,2,Personalized 2,Yes,1
1,2,Personalized 3,Yes,2
1,2,Personalized 5,Yes,2
1,2,Personalized 5,Yes,2
1,2,Personalized 3,Yes,2
1,3,Personalized 6,Yes,4
1,3,Personalized 6,Yes,4
1,3,Personalized 1,Yes,6
1,3,Personalized 4,Yes,6
1,3,Personalized 4,Yes,6
1,3,Personalized 1,Yes,6
